Project url,TNC,LFT,NoD,NSD,PSD,TZ,AVAD,SAD,SDC,SDZ,SCZ,AVCMS,SCMS,NMSP,ANPM,SDPM,TNM,ANM,TGN,SCT,ND,NoC,NCD,PCD,GCC,GBC,GDC,SDCC,SCC,NR,SDR,SCR,NPR,CPR,ANCP,SCPR,CSPR,ANAP,SAPR,CPPR,APCP,CNPR,ANMNP,NIS,NCIS,CPIS,ANCS,SCIS,CSIS,ANAS,SAIS,ACPS,CNIS,ACNS,NDPS,NCPS,NCDPS,PCDPS,GCCPS,BCPS,DCPS,SDCPS,SCCPS,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
https://github.com/google/tangent.git,68,280,15,4,0.27,7,30.4,76.1,8.1,2.27,15.5,-0.04,0.36,3,1,0,6,-1,5,13.88,0.64,3,12,0.8,0.31,0,0.31,6.08,36.67,4,0,0,44,56,1.27,2.43,1.35,1.89,0.89,44,0.91,44,0.14,55,145,59,2.64,2.34,1.04,2.18,0.8,1.07,55,0.47,0.06,8,2,0.04,0.12,0.09,0.11,6.45,28.4,0,0,0,0,1,0,0,1,1,0
https://github.com/keras-team/keras-applications.git,91,669,12,6,0.5,6,98.67,227.66,14.79,0.75,20.27,-0.15,0.58,7,1,0,19,-1.11,9,6.31,0.2,4,1,0.08,0.19,0.1,0.19,1.83,24.13,9,1.27,6.1,45,96,2.13,4.81,1.09,1.96,0.95,45,0.91,45,0.36,150,383,148,2.55,3.04,1.03,2.14,1.3,0.99,150,0.47,0.01,53,1,0,0.15,0.03,0.04,11.29,29.92,1,1,1,1,1,1,1,0,1,0
https://github.com/tensorflow/ranking.git,213,624,20,8,0.4,9,115.95,218.05,20.88,2.7,39.78,-0.13,0.58,10,1.1,0.32,27,-1.44,11,13.83,0.38,3,4,0.2,0.13,0.07,0.25,1.15,7,11,2.58,14.44,27,77,2.85,0.46,1.26,2.89,0.7,27,1.93,27,0.11,206,913,392,4.43,3.99,1.09,2.84,1.17,1.9,206,0.72,0.03,13,1,0.01,0.09,0.04,0.06,17.91,73.41,1,1,1,0,0,0,0,0,0,1
https://github.com/minimaxir/textgenrnn.git,174,1112,19,9,0.47,10,65.26,254.46,29.12,1.33,35.78,0,0.55,18,1.17,0.38,19,-1.11,12,14.31,0.16,7,1,0.05,0.2,0.11,0.17,1.7,48.94,12,1.73,14.16,35,23,0.66,3.88,1.26,2.09,1.15,35,0.29,35,0.06,177,328,104,1.85,2.12,0.97,1.99,1.11,0.59,177,0.39,0.01,61,1,0,0.13,0.03,0.03,9.04,25.43,1,1,1,0,1,1,1,0,1,0
https://github.com/raghakot/keras-vis.git,195,1255,10,5,0.5,10,127.7,263.88,46.91,0.52,32.61,-0.13,0.59,13,1.08,0.28,31,-1.26,8,18.53,0.24,5,1,0.1,0.19,0.21,0.2,0.71,64.58,8,0.74,17.99,24,45,1.88,2.13,1.04,1.75,0.68,24,1.13,24,0.38,207,596,212,2.88,3.49,1.11,2.62,2.13,1.02,207,0.75,0.02,50,0,0,0.13,0.03,0.03,16.28,37.93,1,1,0,1,1,1,1,0,0,1
https://github.com/Hironsan/anago.git,296,848,12,3,0.25,8,90,246.4,62.31,0.53,99.4,0,0.23,7,1,0,8,-1,5,58.41,0.26,2,1,0.08,0.13,0.25,0.26,1.41,98.99,5,1.22,56.89,30,26,0.87,3.22,1.48,1.4,1,30,0.37,30,0.17,107,162,52,1.51,1.68,0.96,2.07,1,0.49,107,0.26,0.02,33,1,0.01,0.16,0.05,0.06,8.03,23.75,1,0,1,1,0,1,1,0,1,0
https://github.com/maciejkula/spotlight.git,299,959,12,4,0.33,8,172.25,366.91,53.25,1.04,70.78,-0.03,0.54,17,1.35,0.49,22,-1.41,7,30.84,0.53,3,6,0.5,0.15,0.1,0.28,1,148.65,7,2.17,31.05,78,75,0.96,5.86,1.52,1.45,0.66,78,0.54,78,0.17,104,287,123,2.76,3.75,1.06,2.28,1.01,1.18,104,0.53,0.03,20,1,0.01,0.14,0.07,0.07,8.84,44.64,0,0,0,1,0,0,0,0,0,1
https://github.com/microsoft/vscode-docker,1105,1803,74,27,0.36,13,113.72,233.02,38.82,8.86,140.82,-0.06,0.56,110,1.06,0.25,164,-1.1,47,37.52,0.15,4,2,0.03,0.07,0.05,0.12,9.54,213.67,37,3.54,45.07,814,675,0.83,12.46,1.17,2.4,0.86,814,0.35,814,0.15,1489,4515,1651,3.04,3.64,1.04,2.8,1.58,1.11,1489,0.49,0,43,1,0,0.08,0.02,0.02,77.95,492.95,1,0,0,0,0,0,0,0,0,1
https://github.com/microsoft/QuantumKatas,328,824,102,35,0.34,14,55.46,134.8,7.22,12.51,43.49,-0.13,0.57,19,1.11,0.32,52,-1.23,5369,1.51,0.21,5,3,0.03,0.1,0.04,0.14,15.31,79.57,2,4.24,9.19,383,403,1.05,13.96,1.32,2.26,0.74,383,0.49,383,0.16,94,337,178,3.59,4.54,1.16,2.31,1.19,1.89,94,0.43,0.03,11,1,0.01,0.1,0.07,0.08,23.44,171.6,0,1,0,0,1,0,0,1,0,1
https://github.com/microsoft/botbuilder-js,2902,984,142,59,0.42,15,143.71,218.51,43.49,18.95,437.66,-0.09,0.5,141,1.09,0.28,360,-1.19,222,43.6,0.28,3,16,0.11,0.08,0.01,0.18,9.45,382.81,21,12.22,182.44,1374,1697,1.24,76.86,0.71,3.33,2.03,1374,0.17,1374,0.09,1393,2573,760,1.85,3.2,0.87,3.18,1.73,0.55,1393,0.24,0.04,13,0,0,0.08,0.01,0.06,55.71,1203.5,0,1,1,0,0,1,1,1,0,1
