Project url,NoD,NAD,NCD,SDC,NoCD,PCD,NSD,PSD,NPR,SAPR,ANAP,NIS,SDAI,ANAI,GDC,SDD,GBC,GCC,ND,NC,ACC,SCC,ADC,SDoC,TZ,ACZ,SCZ,ADZ,SDZ,NR,PCR,SCR,FN,ADPR,ADI,BFN,TFN,TFC,ANCPR,SCPR,NCI,ANCI,SDCI,RTCPR,RTCI,RPCPR,RPCI,RINC,RNSPRC,ACCL,OSE,BCE,PDE,SV,OS,SD,RS,TFS,UI,TC
https://github.com/google/tangent.git,15,30.4,68,8.09,12,0.8,4,0.26,44,0.89,1.88,55,0.79,2.18,0.3,0.16,0,0.3,0.63,3,22.66,36.66,5,6.08,7,9.71,15.49,2.85,2.26,4,1,0,0.02,4,5,0.95,5,45.19,1.27,2.42,145,2.63,2.34,0,0,33,96,1.07,0.13,472.54,0,0,0,0,1,0,0,1,1,0
https://github.com/keras-team/keras-applications.git,12,98.66,91,14.78,1,0.08,6,0.5,45,0.95,1.95,150,1.3,2.14,0.18,0.18,0.1,0.19,0.19,4,22.75,24.12,3,1.82,6,15.16,20.27,2.16,0.75,9,8.77,6.09,0.01,9,4,0.99,9,49.7,2.13,4.8,383,2.55,3.03,0.02,0,56,183,0.99,0.35,299.74,1,1,1,1,1,1,1,0,1,0
https://github.com/tensorflow/ranking.git,20,115.95,213,20.87,4,0.2,8,0.4,27,0.69,2.88,206,1.17,2.84,0.25,0.22,0.07,0.13,0.38,3,71,7,6.66,1.15,9,23.66,39.77,3.44,2.69,11,19.27,14.44,0.02,8,9,0.99,10,47.31,2.85,0.45,913,4.43,3.98,0,0,49,555,1.9,0.11,488.62,1,1,1,0,0,0,0,0,0,1
https://github.com/minimaxir/textgenrnn.git,19,65.26,174,29.12,1,0.05,9,0.47,35,1.14,2.08,177,1.11,1.99,0.16,0.21,0.11,0.19,0.15,7,24.85,48.94,2.71,1.7,10,17.4,35.78,2,1.33,12,13,14.16,0.01,12,10,1,2,46.31,0.65,3.88,328,1.85,2.11,0,0,14,169,0.59,0.05,205.6,1,1,1,0,1,1,1,0,1,0
https://github.com/raghakot/keras-vis.git,10,127.7,195,46.9,1,0.1,5,0.5,24,0.67,1.75,207,2.13,2.62,0.2,0.22,0.21,0.19,0.24,5,39,64.57,2,0.7,10,19.5,32.6,1.4,0.51,8,18.5,17.99,0.01,11,16,0.99,3,33.97,1.87,2.13,596,2.87,3.49,0,0,26,300,1.02,0.37,337.53,1,1,0,1,1,1,1,0,0,1
https://github.com/Hironsan/anago.git,12,90,296,62.3,1,0.08,3,0.25,30,1,1.4,107,1,2.06,0.26,0.18,0.24,0.13,0.25,2,148,98.99,6,1.41,8,37,99.4,1.5,0.53,5,50,56.89,0.01,5,8,0.99,1,32.86,0.86,3.22,162,1.51,1.67,0,0,8,66,0.49,0.16,238.25,1,0,1,1,0,1,1,0,1,0
https://github.com/maciejkula/spotlight.git,12,172.25,299,53.24,6,0.5,4,0.33,78,0.65,1.44,104,1,2.27,0.28,0.14,0.09,0.15,0.53,3,99.66,148.65,4,1,8,37.37,70.77,2.25,1.03,7,36.4,31.05,0.01,7,8,0.96,9,48.37,0.96,5.85,287,2.75,3.75,0.02,0,43,192,1.18,0.16,377.31,0,0,0,1,0,0,0,0,0,1
https://github.com/microsoft/vscode-docker,74,113.71,1105,38.82,2,0.02,27,0.36,814,0.86,2.39,1489,1.57,2.79,0.12,0.15,0.04,0.06,0.15,4,276.25,213.66,18.5,9.53,13,85,140.82,8.15,8.85,37,29.56,45.07,0.03,13,13,1,8,47.37,0.83,12.46,4515,3.03,3.63,0,0,367,2776,1.11,0.14,261.89,1,0,0,0,0,0,0,0,0,1
https://github.com/microsoft/QuantumKatas,102,55.46,328,7.22,3,0.02,35,0.34,383,0.74,2.26,94,1.19,2.3,0.13,0.16,0.03,0.09,0.2,5,65.6,79.56,20.4,15.3,14,23.42,43.49,8.28,12.51,2,37.5,9.19,6.52,2,14,1,3,35.01,1.05,13.96,337,3.58,4.53,0,0,316,309,1.89,0.16,325.23,0,1,0,0,1,0,0,1,0,1
https://github.com/microsoft/botbuilder-js,142,143.71,2902,43.48,16,0.11,59,0.41,1374,2.02,3.32,1393,1.73,3.18,0.17,0.15,0.01,0.07,0.28,3,967.33,382.8,47.33,9.45,15,193.46,437.65,12.4,18.94,21,137.47,182.44,0.23,21,15,1,21,49.02,1.23,76.85,2573,1.84,3.2,0,0,672,1842,0.55,0.09,366.54,0,1,1,0,0,1,1,1,0,1
https://github.com/microsoft/BotFramework-Composer,78,117.08,1505,39.32,27,0.34,26,0.33,1959,2.07,2.99,2245,1.62,3.49,0.23,0.23,0.01,0.12,0.47,3,501.66,443.4,26,9.53,13,115.76,244.77,7.15,10.74,8,188.12,445.99,0.02,8,13,1,1,27.64,1.41,20.15,5484,2.45,3.24,0,0,820,3822,0.71,0.21,632.47,0,1,0,1,0,1,1,1,0,1
https://github.com/google/oboe,32,253.12,1221,92.48,6,0.18,16,0.5,392,0.87,1.91,628,1.21,2.33,0.25,0.11,0.04,0.17,0.38,5,244.2,266.44,6.4,3.28,13,93.92,158.41,3.84,3.84,7,132,113.2,0.01,7,13,0.99,5,48.95,0.88,6.08,1985,3.16,4.21,0,0,183,1201,1.01,0.13,490.46,0,0,0,1,0,0,0,1,0,1
https://github.com/google/WebFundamentals,570,154.02,11020,125.81,14,0.02,205,0.35,5181,1.32,3.61,3714,1.06,2.01,0.11,0.13,0,0.04,0.1,4,2755,3600.37,142.5,111.16,22,500.9,875.38,35.31,37.46,3,2394,2866.15,0,3,22,1,14,49.8,1.63,84.27,4869,1.31,1.93,0,0,2242,5432,0.43,0.09,320.65,1,1,0,1,0,1,0,0,0,1
https://github.com/google/flax,63,49.65,936,27.76,32,0.5,20,0.31,376,1.21,3.38,105,1.52,2.92,0.22,0.24,0.01,0.12,0.55,2,468,73.53,31.5,2.12,14,66.85,99.62,6.71,7.73,2,347,219.2,0.01,2,14,0.99,1,33.33,1.87,10.04,317,3.01,3.78,0,0,913,410,1.33,0.63,401.5,0,0,1,1,0,1,0,1,0,1
